date, pm25, pm10
2016/5/20, 142, 
2016/5/21, 110, 
2016/5/22, 130, 
2016/5/23, 139, 
2016/5/24, 122, 
2016/5/25, 113, 
2016/5/26, 136, 
2016/5/27, 159, 
2016/5/28, 147, 
2016/5/29, 108, 
2016/5/30, 124, 
2016/5/31, 134, 
2016/6/1, 125, 
2016/6/2, 134, 
2016/6/3, 179, 
2016/6/4, 156, 
2016/6/5, 137, 
2016/6/6, 167, 
2016/6/7, 133, 
2016/6/8, 84, 
2016/6/9, 130, 
2016/6/10, 110, 
2016/6/11, 136, 
2016/6/12, 156, 
2016/6/13, 150, 
2016/6/14, 140, 
2016/6/15, 133, 
2016/6/16, 125, 
2016/6/17, 127, 
2016/6/18, 81, 
2016/6/19, 138, 
2016/6/20, 135, 
2016/6/21, 160, 
2016/6/22, 113, 
2016/6/23, 116, 
2016/6/24, 131, 
2016/6/25, 147, 
2016/6/26, 145, 
2016/6/27, 125, 33
2016/6/28, 128, 70
2016/6/29, 140, 68
2016/6/30, 104, 
2016/1/4, 113, 77
2016/1/5, 132, 83
2016/1/6, 109, 
2016/1/7, 97, 
2016/1/8, 73, 
2016/1/9, 87, 
2016/1/10, 103, 
2016/1/11, 112, 
2016/1/12, 100, 
2016/1/13, 90, 
2016/1/14, 83, 
2016/1/15, 97, 
2016/1/16, 121, 
2016/1/17, 139, 86
2016/1/18, 134, 65
2016/1/19, 128, 55
2016/1/20, 81, 54
2016/1/21, 67, 57
2016/1/22, 63, 50
2016/1/23, 54, 49
2016/1/24, 73, 43
2016/1/25, 48, 56
2016/1/26, 62, 74
2016/1/27, 103, 65
2016/1/28, 72, 62
2016/1/29, 82, 63
2016/1/30, 46, 
2016/1/31, 24, 43
2016/2/1, 41, 50
2016/2/2, 53, 49
2016/2/3, 49, 55
2016/2/4, 73, 52
2016/2/5, 65, 66
2016/2/6, 98, 51
2016/2/7, 66, 40
2016/2/8, 45, 34
2016/2/9, 21, 45
2016/2/10, 46, 48
2016/2/11, 61, 49
2016/2/12, 58, 70
2016/2/13, 112, 63
2016/2/14, 96, 58
2016/2/15, 97, 
2016/2/16, 68, 
2016/2/17, 59, 59
2016/2/18, 104, 
2016/2/19, 120, 
2016/2/20, 119, 
2016/2/21, 98, 
2016/2/22, 85, 
2016/2/23, 114, 63
2016/2/24, 91, 36
2016/2/25, 53, 29
2016/2/26, 59, 
2016/2/27, 68, 
2016/2/28, 87, 
2016/2/29, 78, 
2016/3/1, 53, 
2016/3/2, 83, 
2016/3/3, 69, 
2016/3/4, 61, 
2016/3/5, 78, 
2016/3/6, 107, 
2016/3/7, 81, 
2016/3/8, 83, 
2016/3/9, 105, 
2016/3/10, 113, 
2016/3/11, 101, 
2016/3/12, 111, 
2016/3/13, 100, 
2016/3/14, 138, 
2016/3/15, 120, 
2016/3/16, 94, 
2016/3/17, 103, 
2016/3/18, 56, 
2016/3/19, 89, 
2016/3/20, 64, 
2016/3/21, 100, 
2016/3/22, 101, 
2016/3/23, 59, 
2016/3/24, 97, 
2016/3/25, 131, 
2016/3/26, 82, 
2016/3/27, 99, 
2016/3/28, 76, 
2016/3/29, 95, 
2016/3/30, 115, 
2016/3/31, 123, 
2015/12/25, 39, 
2015/12/26, 81, 
2015/12/27, 94, 
2015/12/28, 91, 58
2015/12/29, 98, 
2015/12/30, 64, 43
2016/1/3, 65, 
2020/10/1, , 57
2020/10/2, , 53
2020/10/3, , 57
2020/10/4, , 57
2020/10/5, , 39
2020/10/6, , 45
2020/10/7, , 51
2020/10/8, , 53
2020/10/9, , 45
2020/10/10, , 53
2020/10/11, , 51
2020/10/12, , 64
2020/10/13, , 61
2020/10/14, , 63
2020/10/15, , 62
2020/10/16, , 55
2020/10/17, , 47
2020/10/18, , 50
2020/10/19, , 54
2020/10/20, , 52
2020/10/21, , 55
2020/10/22, , 35
2020/10/23, , 27
2020/10/24, , 44
2020/10/25, , 41
2020/10/26, , 41
2020/10/30, , 47
2020/9/24, , 62
2020/9/25, , 74
2020/9/26, , 56
2020/9/27, , 52
2020/9/28, , 54
2020/9/29, , 53
2020/9/30, , 57
2020/7/26, , 61
2020/7/27, , 67
2019/12/31, , 14
2019/9/18, , 57
2019/9/19, , 61
2019/9/21, , 66
2019/9/22, , 66
2018/10/19, , 54
2018/10/22, , 32
2018/10/23, , 59
2018/10/24, , 59
2018/10/25, , 52
2018/10/26, , 51
2018/10/27, , 31
2018/10/28, , 30
2018/10/29, , 42
2018/10/30, , 50
2018/10/31, , 82
2018/11/1, , 49
2018/11/3, , 45
2017/12/31, , 15
2017/12/12, , 8
2017/12/18, , 44
2017/1/16, , 27
2017/2/28, , 74
2017/3/1, , 42
2017/3/2, , 92
2015/10/6, , 99
2015/10/7, , 83
2015/10/8, , 86
2015/10/9, , 75
2015/10/10, , 103
2015/10/11, , 78
2015/10/14, , 77
2015/10/15, , 108
2015/10/16, , 66
2015/10/17, , 105
2015/10/18, , 92
2015/10/19, , 90
2015/10/20, , 93
2015/10/21, , 105
2015/10/22, , 65
2015/10/26, , 89
2015/10/28, , 81
2015/10/29, , 88
2015/10/31, , 87
2015/12/3, , 80
2015/12/11, , 64
2015/12/15, , 37
2015/7/16, , 62
2015/7/17, , 63
2015/7/18, , 60
2015/7/19, , 60
2015/7/20, , 59
2015/7/21, , 61
2015/7/22, , 65
2015/7/23, , 71
2015/7/24, , 69
2015/7/25, , 75
2015/7/26, , 71
2015/7/27, , 60
2015/7/28, , 65
2015/7/29, , 66
2015/7/30, , 75
2015/7/31, , 70
2015/8/3, , 64
2015/8/4, , 85
2015/8/5, , 92
2015/8/6, , 76
2015/8/7, , 68
2015/8/10, , 79
2015/8/12, , 68
2015/8/14, , 68
2015/8/20, , 80
2015/8/23, , 80
2015/8/24, , 85
2015/8/25, , 84
2015/8/26, , 77
2015/8/27, , 91
2015/8/28, , 83
2015/9/1, , 79
2015/9/2, , 88
2015/9/3, , 98
2015/9/4, , 81
2015/9/8, , 77
2015/9/9, , 75
2015/9/10, , 87
2015/9/11, , 83
2015/9/12, , 86
2015/9/13, , 80
2015/9/14, , 68
2015/9/15, , 104
2015/9/16, , 81
2015/9/17, , 93
2015/9/18, , 86
2015/9/19, , 86
